equation;answer;correct
x+15=45-2x;x-2x=45-15;0
x+15=45-2x;x-2x=45+15;0
x+15=45-2x;x+2x=45-15;1
x+15=45-2x;3x=30;1
x+15=45-2x;x=(30)/(3);1
x+15=45-2x;x=10;1
x+4=10;x=10-4;1
x+4=10;x=6;1
x+1=23;x=23-1;1
x+1=23;x=22;1
x+5=34;x=34-5;1
x+5=34;x=19;0
x+5=34;x=29;1
x+8=12;x=12-8;1
x+8=12;x=4;1
x-1=11;x=11+1;1
x-1=11;x=12;1
x-6=12;x=18;1
x-9=30;x=39;1
x-8=19;x=27;1
10+x=56;x=56-10;1
10+x=56;x=46;1
18+x=20;x=20-18;1
18+x=20;x=2;1
15+x=21;x=21-15;1
15+x=21;x=6;1
120+x=220;x=220-120;1
120+x=220;x=100;1
100+x=300;x=300-100;1
100+x=300;x=200;1
99+x=180;x=180-99;1
99+x=180;x=81;1
4x=-28;x=-(28)/(4);1
4x=-28;x=-7;1
9x=18;x=2;1
4x=-16;x=-4;1
5x=-20;x=-4;1
12x=6;x=2;0
12x=6;x=(6)/(12);1
12x=6;x=2;0
12x=6;x=-2;0
12x=6;x=(3)/(6);1
12x=6;x=(1)/(2);1
18x=9;x=2;0
18x=9;x=(18)/(9);0
18x=9;x=(9)/(18);1
18x=9;(x1)/(2);0
18x=9;x=(1)/(2);1
7x=-21;x=-(21)/(7);1
7x=-21;x=-3;1
8x=0;x=(0)/(8);1
8x=0;x=0;1
8x=32;x=(32)/;0
8x=32;x=(32)/(8);1
8x=32;x=4;1
48x=12;x=(12)/(48);1
48x=12;x=(2)/(8);1
48x=12;x=(1)/(4);1
35x=-70;x=-(70)/(35);1
35x=-70;x=-2;1
6x=32;x=(32)/(6);1
6x=32;x=(16)/(3);1
8x=10;x=(10)/(8);1
8x=10;x=(5)/(4);1
5x=-100;x=-(100)/(5);1
5x=-100;x=-20;1
32x=-8;x=-(8)/(32);1
32x=-8;x=-(2)/(8);1
32x=-8;x=-(1)/(4);1
-7x=-42;x=-(42)/(-7);1
-7x=-42;x=(42)/(7);1
-7x=-42;x=;0
-7x=-42;x=6;1
-8x=-24;x=(24)/(8);1
-8x=-24;x=3;1
-20x=-4;x=(4)/(20);1
-20x=-4;x=(2)/(10);1
-20x=-4;x=(1)/(5);1
-60=-2x;x=(2)/(60);0
-60=-2x;x=(60)/(2);1
-60=-2x;x=30;1
45=-5x;x=(45)/(-5);1
45=-5x;x=-9;1
90=2x;x=(90)/(2);1
90=2x;x=45;1
(x)/(2)=12;x=24;1
(x)/(2)=8;x=16;1
(x)/(2)=-5;x=-10;1
(x)/(3)=9;x=27;1
(x)/(4)=-5;x=-20;1
(3x)/(4)=9;3x=36;1
(3x)/(4)=9;x=(36)/(3);1
(3x)/(4)=9;x=12;1
(2x)/(5)=-4;2x=-20;1
(2x)/(5)=-4;x=-(20)/(2);1
(2x)/(5)=-4;x=-10;1
(2x)/(3)=-10;2x=-30;1
